n1,n2,edge_type
0,435,P_A
0,0,P_C
4,0,T_P
5,0,T_P
6,0,T_P
7,0,T_P
8,0,T_P
1,436,P_A
1,0,P_C
21,1,T_P
22,1,T_P
24,1,T_P
25,1,T_P
26,1,T_P
27,1,T_P
28,1,T_P
2,436,P_A
5890,436,P_A
5892,436,P_A
5893,436,P_A
5894,436,P_A
5896,436,P_A
5898,436,P_A
5900,436,P_A
5902,436,P_A
7498,436,P_A
2,437,P_A
2,0,P_C
29,2,T_P
30,2,T_P
31,2,T_P
32,2,T_P
33,2,T_P
34,2,T_P
35,2,T_P
7347,437,P_A
7348,437,P_A
7563,437,P_A
3,439,P_A
3,440,P_A
3,441,P_A
3,0,P_C
47,3,T_P
48,3,T_P
49,3,T_P
50,3,T_P
3,7064,P_P
3,7262,P_P
848,439,P_A
1079,439,P_A
1554,439,P_A
7566,439,P_A
102,440,P_A
544,440,P_A
545,440,P_A
6337,440,P_A
6599,440,P_A
7135,440,P_A
7136,440,P_A
7137,440,P_A
848,441,P_A
1053,441,P_A
441,332,A_A
1240,441,P_A
1269,441,P_A
1554,441,P_A
1579,441,P_A
4117,441,P_A
6958,441,P_A
7195,441,P_A
7566,441,P_A
4,442,P_A
4,0,P_C
26,4,T_P
57,4,T_P
58,4,T_P
59,4,T_P
4,14022,P_P
145,442,P_A
375,442,P_A
407,442,P_A
442,271,A_A
866,442,P_A
1141,442,P_A
4881,442,P_A
4883,442,P_A
5884,442,P_A
5910,442,P_A
6044,442,P_A
6045,442,P_A
6168,442,P_A
7153,442,P_A
7154,442,P_A
7719,442,P_A
7729,442,P_A
5,443,P_A
5,0,P_C
60,5,T_P
61,5,T_P
62,5,T_P
