synID,ID,label,type
2,192,2,A
3,226,2,A
4,234,3,A
12,435,2,A
13,444,1,A
14,448,2,A
18,521,2,A
23,620,2,A
24,631,2,A
31,714,1,A
38,794,2,A
39,798,2,A
40,867,3,A
41,871,1,A
46,934,2,A
48,959,0,A
53,1102,2,A
54,1116,0,A
56,1140,2,A
59,1245,2,A
62,1256,3,A
63,1288,3,A
67,1313,2,A
68,1314,1,A
70,1336,1,A
72,1338,1,A
76,1394,2,A
80,1582,1,A
81,1705,1,A
83,1842,2,A
85,1844,0,A
87,1930,2,A
88,1975,1,A
93,2237,0,A
94,2245,0,A
96,2280,3,A
98,2290,1,A
99,2316,1,A
104,2418,0,A
107,2500,2,A
109,2525,0,A
110,2526,0,A
113,2588,1,A
115,2691,2,A
121,3043,1,A
125,3293,3,A
126,3460,2,A
128,3490,0,A
131,3530,0,A
133,3628,3,A
134,3673,2,A
136,3675,0,A
137,3711,3,A
138,3720,0,A
139,3759,2,A
140,3782,3,A
141,3794,2,A
145,4027,0,A
146,4112,3,A
147,4130,3,A
149,4225,1,A
151,4239,3,A
152,4241,0,A
153,4254,3,A
156,4285,2,A
158,4319,2,A
159,4327,2,A
161,4386,0,A
163,4469,2,A
164,4472,2,A
165,4473,2,A
166,4489,2,A
167,4516,2,A
168,4561,2,A
169,4595,2,A
170,4606,0,A
171,4642,2,A
173,4681,2,A
175,4701,1,A
176,4730,2,A
179,4793,2,A
181,4802,0,A
182,4830,2,A
184,4840,3,A
185,4842,2,A
186,4865,0,A
187,4886,2,A
188,4922,2,A
189,4927,2,A
190,4968,0,A
192,5048,2,A
193,5049,2,A
194,5160,3,A
195,5173,3,A
197,5214,1,A
198,5217,1,A
199,5269,0,A
200,5304,0,A
201,5577,2,A
202,5586,2,A
203,5739,2,A
204,5752,0,A
205,5795,2,A
206,6114,3,A
207,6143,1,A
208,6207,0,A
210,6295,1,A
211,6330,3,A
214,6461,0,A
215,6613,1,A
217,6656,3,A
218,6773,2,A
219,6805,1,A
220,6890,0,A
221,6976,0,A
222,7022,0,A
223,7046,2,A
224,7244,3,A
226,7277,1,A
227,7338,0,A
228,7366,0,A
229,7562,1,A
230,7569,3,A
234,7728,2,A
236,7739,2,A
237,7757,0,A
240,7885,3,A
241,7907,2,A
243,7964,0,A
245,8053,0,A
246,8207,1,A
247,8242,1,A
249,8320,3,A
250,8394,3,A
252,8450,1,A
255,8741,0,A
257,8756,1,A
258,8788,3,A
260,8875,0,A
261,8912,1,A
262,8928,0,A
264,8966,0,A
265,9000,3,A
267,9024,1,A
271,9096,3,A
272,9098,1,A
274,9153,0,A
275,9222,3,A
277,9252,1,A
278,9329,1,A
279,9391,0,A
281,9465,1,A
282,9485,0,A
283,9518,3,A
284,9521,2,A
290,9784,0,A
291,9791,3,A
