n1,n2,etype
P7601,A15135,PA
P7604,A15138,PA
P7605,A15138,PA
P7605,A15142,PA
P7610,A15151,PA
P7610,A15152,PA
P7610,A15153,PA
P7612,A15157,PA
P7613,A15158,PA
P7621,A15179,PA
P7630,A15200,PA
P7630,A15201,PA
P7631,A15202,PA
P7632,A15204,PA
P7632,A15206,PA
P7633,A15210,PA
P7637,A4469,PA
P7638,A15218,PA
P7652,A15249,PA
P7653,A15250,PA
P7655,A15254,PA
P7658,A4561,PA
P7660,A4561,PA
P7663,A15266,PA
P7664,A15267,PA
P7668,A15272,PA
P7669,A15276,PA
P7670,A15272,PA
P7670,A15278,PA
P7673,A15283,PA
P7678,A15291,PA
P7681,A15290,PA
P7683,A15305,PA
P7690,A15324,PA
P7694,A2691,PA
P7697,A15334,PA
P7704,A15350,PA
P7710,A15364,PA
P7711,A15365,PA
P7718,A15381,PA
P7720,A15385,PA
P7728,A15392,PA
P7730,A15392,PA
P7737,A15407,PA
P7739,A15410,PA
P7739,A15414,PA
P7742,A15420,PA
P7744,A15424,PA
P7744,A15425,PA
P7745,A15438,PA
P7745,A15440,PA
P7745,A15441,PA
P7746,A15438,PA
P7746,A15440,PA
P7746,A15441,PA
P7748,A15424,PA
P7748,A15425,PA
P7753,A15463,PA
P7757,A15470,PA
P7759,A15470,PA
P7759,A15474,PA
P7760,A15469,PA
P7760,A15475,PA
P7762,A15469,PA
P7762,A15475,PA
P7763,A15478,PA
P7766,A15481,PA
P7770,A15487,PA
P7773,A15494,PA
P7775,A15501,PA
P7784,A15514,PA
P7803,A15542,PA
P7807,A15545,PA
P7810,A15547,PA
P7814,A15554,PA
P7830,A15570,PA
P7831,A15571,PA
P7833,A15571,PA
P7834,A15574,PA
P7834,A15575,PA
P7836,A15578,PA
P7838,A15582,PA
P7840,A15582,PA
P7846,A15592,PA
P7848,A15592,PA
P7852,A15592,PA
P7853,A4473,PA
P7855,A15607,PA
P7855,A15608,PA
P7858,A15592,PA
P7859,A15615,PA
P7862,A15545,PA
P7867,A15440,PA
P7869,A15644,PA
P7872,A15647,PA
P7882,A15659,PA
P7884,A15659,PA
P7884,A15663,PA
P7887,A15667,PA
P7898,A15686,PA
P7906,A15696,PA
P7907,A15663,PA
P7912,A15700,PA
P7913,A15701,PA
P7914,A15700,PA
P7915,A15704,PA
P7916,A15706,PA
P7917,A15710,PA
P7920,A15713,PA
P7923,A15717,PA
P7926,A15724,PA
P7927,A15725,PA
P7930,A15728,PA
P7932,A15732,PA
P7937,A15738,PA
P7947,A15468,PA
P7949,A15468,PA
P7950,A15290,PA
P7951,A15468,PA
P7955,A15468,PA
P7955,A15757,PA
P7959,A15468,PA
P7960,A15152,PA
P7965,A4473,PA
P7965,A15468,PA
P7966,A15774,PA
P7968,A15774,PA
P7968,A15777,PA
P7968,A15779,PA
P7970,A15210,PA
P7970,A15774,PA
P7970,A15780,PA
P7975,A15786,PA
P7976,A2290,PA
P7976,A15787,PA
P7977,A7046,PA
P7977,A15704,PA
P7980,A15791,PA
P7981,A15794,PA
P7982,A15791,PA
P7982,A15795,PA
P7982,A15796,PA
P7987,A15806,PA
P7994,A15816,PA
P7996,A15816,PA
P7998,A15816,PA
P8000,A15410,PA
P8000,A15816,PA
P8002,A15829,PA
P8005,A15836,PA
P8008,A15839,PA
P8010,A15839,PA
P8010,A15841,PA
P8012,A4927,PA
P8014,A15201,PA
P8019,A15846,PA
P8021,A15848,PA
P8030,A15863,PA
P8031,A15800,PA
P8032,A15774,PA
P8035,A15800,PA
P8041,A4927,PA
P8041,A15883,PA
P8041,A15884,PA
P8046,A15310,PA
P8048,A15468,PA
P8048,A15901,PA
P8049,A15468,PA
P8049,A15901,PA
P8052,A15903,PA
P8054,A15904,PA
P8055,A15904,PA
P8056,A5577,PA
P8056,A15904,PA
P8058,A15908,PA
P8058,A15909,PA
P8065,A15921,PA
P8078,A15946,PA
P8081,A15950,PA
P8082,A15844,PA
P8084,A15594,PA
P8084,A15955,PA
P8090,A15157,PA
P8090,A15973,PA
P8093,A15686,PA
P8094,A15222,PA
P8097,A15984,PA
P8097,A15986,PA
P8103,A15997,PA
P8121,A16026,PA
P8122,A16026,PA
P8123,A16026,PA
P8129,A15706,PA
P8131,A15206,PA
P8131,A15706,PA
P8137,A16039,PA
P8140,A15204,PA
P8140,A15206,PA
P8142,A16041,PA
P8150,A16048,PA
P8151,A16048,PA
P8155,A15530,PA
P8157,A16053,PA
P8158,A16053,PA
P8159,A15829,PA
P8159,A16053,PA
P8161,A16055,PA
P8162,A16057,PA
P8170,A16067,PA
P8174,A16074,PA
P8188,A15481,PA
P8188,A16092,PA
P8202,A16116,PA
P8205,A16122,PA
P8206,A16122,PA
P8209,A16122,PA
P8210,A16122,PA
P8211,A16122,PA
P8212,A16122,PA
P8212,A16128,PA
P8213,A15841,PA
P8213,A16122,PA
P8214,A16122,PA
P8220,A16142,PA
P8224,A4802,PA
P8226,A16153,PA
P8231,A16159,PA
P8232,A16160,PA
P8235,A16163,PA
P8238,A16170,PA
P8248,A16102,PA
P8248,A16186,PA
P8251,A16189,PA
P8252,A16189,PA
P8253,A16191,PA
P8254,A16191,PA
P8257,A16048,PA
P8257,A16198,PA
P8258,A16200,PA
P8266,A16217,PA
P8267,A16217,PA
P8274,A15973,PA
P8274,A16224,PA
P8276,A16226,PA
P8279,A16231,PA
P8289,A5049,PA
P8301,A16245,PA
P8309,A15612,PA
P8314,A16269,PA
P8314,A16270,PA
P8315,A16269,PA
P8317,A15777,PA
P8317,A16272,PA
P8322,A4472,PA
P8323,A4472,PA
P8324,A4472,PA
P8324,A12729,PA
P8325,A4472,PA
P8325,A4473,PA
P8328,A4472,PA
P8328,A4473,PA
P8329,A4472,PA
P8329,A4473,PA
P8330,A4472,PA
P8330,A4473,PA
P8331,A4472,PA
P8331,A4473,PA
P8332,A4472,PA
P8332,A4473,PA
P8333,A16039,PA
P8333,A16279,PA
P8335,A16284,PA
P8343,A16300,PA
P8344,A16300,PA
P8345,A16300,PA
P8346,A16300,PA
P8350,A16311,PA
P8351,A16311,PA
P8362,A16338,PA
P8363,A16338,PA
P8365,A16338,PA
P8367,A16338,PA
P8368,A16338,PA
P8369,A16347,PA
P8370,A631,PA
P8373,A15612,PA
P8374,A16355,PA
P8377,A15787,PA
P8379,A16362,PA
P8379,A16363,PA
P8380,A15756,PA
P8386,A16377,PA
P8387,A16378,PA
P8388,A16380,PA
P8394,A16394,PA
P8399,A16398,PA
P8402,A16102,PA
P8402,A16399,PA
P8403,A16102,PA
P8406,A16403,PA
P8406,A16404,PA
P8409,A12729,PA
P8413,A16416,PA
P8415,A16416,PA
P8415,A16422,PA
P8418,A15420,PA
P8419,A16425,PA
P8421,A16427,PA
P8422,A15420,PA
P8423,A15420,PA
P8423,A16431,PA
P8427,A16270,PA
P8434,A16067,PA
P8435,A15848,PA
P8436,A15848,PA
P8439,A16453,PA
P8440,A16067,PA
P8453,A16463,PA
P8455,A16465,PA
P8456,A16465,PA
P8465,A16473,PA
P8468,A15278,PA
P8476,A16490,PA
P8480,A16496,PA
P8485,A16501,PA
P8486,A4840,PA
P8487,A4681,PA
P8487,A4840,PA
P8488,A2588,PA
P8488,A16503,PA
P8490,A16508,PA
P8492,A16399,PA
P8494,A16515,PA
P8507,A16527,PA
P8511,A15993,PA
P8511,A16530,PA
P8512,A15993,PA
P8512,A16530,PA
P8515,A13897,PA
P8522,A16537,PA
P8523,A16537,PA
P8528,A16541,PA
P8531,A16541,PA
P8531,A16543,PA
P8535,A4561,PA
P8536,A4561,PA
P8542,A16554,PA
P8544,A15305,PA
P8544,A15588,PA
P8545,A15807,PA
P8545,A16559,PA
P8547,A16562,PA
P8548,A16562,PA
P8549,A16564,PA
P8556,A16537,PA
P8556,A16571,PA
P8564,A16579,PA
P8565,A16579,PA
P8578,A16588,PA
P8578,A16589,PA
P8594,A16616,PA
P8596,A16619,PA
P8602,A16633,PA
P8603,A16635,PA
P8605,A16637,PA
P8607,A16638,PA
P8607,A16641,PA
P8608,A16638,PA
P8608,A16641,PA
P8609,A16638,PA
P8609,A16641,PA
P8615,A16648,PA
P8617,A3460,PA
P8617,A16650,PA
P8618,A16650,PA
P8619,A15278,PA
P8631,A15768,PA
P8636,A16672,PA
P8638,A3460,PA
P8638,A16678,PA
P8638,A16679,PA
P8640,A15475,PA
P8640,A16681,PA
P8641,A15475,PA
P8641,A16681,PA
P8646,A16691,PA
P8647,A16691,PA
P8648,A16691,PA
P8649,A16691,PA
P8649,A16692,PA
P8652,A16697,PA
P8654,A934,PA
P8659,A15179,PA
P8661,A16708,PA
P8662,A16708,PA
P8662,A16709,PA
P8666,A16714,PA
P8668,A16714,PA
P8669,A16714,PA
P8671,A16720,PA
P8673,A798,PA
P8673,A16721,PA
P8675,A16723,PA
P8677,A16728,PA
P8681,A16737,PA
P8683,A13103,PA
P8683,A15645,PA
P8684,A13103,PA
P8700,A16762,PA
P8701,A16762,PA
P8702,A15410,PA
P8704,A15410,PA
P8704,A16764,PA
P8705,A4681,PA
P8706,A4681,PA
P8706,A4840,PA
P8706,A4842,PA
P8706,A16766,PA
P8709,A15359,PA
P8711,A16771,PA
P8715,A15713,PA
P8715,A16778,PA
P8715,A16781,PA
P8716,A16782,PA
P8717,A16782,PA
P8721,A16789,PA
P8723,A16793,PA
P8724,A16793,PA
P8726,A4642,PA
P8726,A16328,PA
P8727,A15210,PA
P8733,A16691,PA
P8734,A16691,PA
P8737,A16807,PA
P8740,A16811,PA
P8743,A15481,PA
P8744,A4469,PA
P8744,A16818,PA
P8749,A16821,PA
P8756,A16830,PA
P8762,A16577,PA
P8763,A16577,PA
P8764,A16577,PA
P8765,A16577,PA
P8768,A16835,PA
P8769,A16838,PA
P8771,A15475,PA
P8778,A16849,PA
P8778,A16850,PA
P8779,A16830,PA
P8783,A16855,PA
P8784,A16855,PA
P8790,A16865,PA
P8796,A16878,PA
P8803,A9153,PA
P8807,A16893,PA
P8809,A16895,PA
P8810,A16896,PA
P8811,A16897,PA
P8813,A16899,PA
P8814,A16900,PA
P8816,A15887,PA
P8821,A15385,PA
P8821,A16914,PA
P8823,A16914,PA
P8824,A16918,PA
P8830,A16929,PA
P8832,A16931,PA
P8832,A16932,PA
P8832,A16933,PA
P8838,A16934,PA
P8845,A15157,PA
P8846,A16949,PA
P8850,A16399,PA
P8850,A16641,PA
P8856,A15710,PA
P8862,A15791,PA
P8868,A16964,PA
P8871,A16968,PA
P8880,A15206,PA
P8881,A15206,PA
P8887,A4473,PA
P8888,A4473,PA
P8889,A16399,PA
P8890,A16399,PA
P8891,A16988,PA
P8892,A16399,PA
P8893,A16988,PA
P8894,A16988,PA
P8895,A16988,PA
P8897,A16399,PA
P8898,A16399,PA
P8899,A16399,PA
P8901,A16399,PA
P8902,A16996,PA
P8906,A16933,PA
P8906,A17000,PA
P8914,A17014,PA
P8914,A17015,PA
P8916,A17019,PA
P8919,A16537,PA
P8920,A16537,PA
P8931,A17037,PA
P8936,A16641,PA
P8938,A17045,PA
P8949,A17059,PA
P8960,A15157,PA
P8960,A17076,PA
P8964,A16849,PA
P8965,A631,PA
P8966,A17085,PA
P8967,A4927,PA
P8977,A17095,PA
P8981,A13896,PA
P8981,A13897,PA
P8985,A17101,PA
P8985,A17104,PA
P8986,A17101,PA
P8987,A17101,PA
P9000,A17144,PA
P9004,A4927,PA
P9008,A17161,PA
P9009,A17076,PA
P9010,A17101,PA
P9010,A17164,PA
P9013,A13801,PA
P9016,A13897,PA
P9027,A17192,PA
P9030,A17198,PA
P9032,A17198,PA
P9034,A16934,PA
P9035,A17207,PA
P9036,A17210,PA
P9037,A17211,PA
P9038,A17210,PA
P9041,A17217,PA
P9042,A15475,PA
P9045,A15475,PA
P9045,A16681,PA
P9046,A15475,PA
P9047,A17218,PA
P9053,A17221,PA
P9054,A17221,PA
P9055,A17221,PA
P9056,A15420,PA
P9056,A17223,PA
P9060,A15420,PA
P9061,A16949,PA
P9061,A17224,PA
P9075,A17240,PA
P9075,A17242,PA
P9080,A17247,PA
P9081,A17251,PA
P9086,A17262,PA
P9087,A17263,PA
P9088,A17263,PA
P9096,A15157,PA
P9096,A15385,PA
P9097,A15385,PA
P9103,A15704,PA
P9103,A15710,PA
P9104,A17284,PA
P9111,A17302,PA
P9121,A17312,PA
P9121,A17313,PA
P9122,A17314,PA
P9126,A17319,PA
P9130,A7907,PA
P9133,A10138,PA
P9150,A16122,PA
P9152,A16737,PA
P9156,A16224,PA
P9159,A16224,PA
P9160,A16224,PA
P9161,A17361,PA
P9162,A17361,PA
P9164,A17362,PA
P9166,A15704,PA
P9166,A17365,PA
P9181,A17381,PA
P9187,A17386,PA
P9188,A17386,PA
P9189,A17386,PA
P9189,A17388,PA
P9192,A17284,PA
P9202,A16102,PA
P9202,A17399,PA
P9203,A16102,PA
P9203,A17399,PA
P9204,A17403,PA
P9209,A17411,PA
P9209,A17412,PA
P9210,A16577,PA
P9210,A17414,PA
P9211,A16633,PA
P9214,A17422,PA
P9215,A17423,PA
P9215,A17424,PA
P9216,A17423,PA
P9216,A17424,PA
P9219,A17383,PA
P9222,A17434,PA
P9223,A17436,PA
P9229,A17247,PA
P9230,A17439,PA
P9231,A17440,PA
P9234,A17262,PA
P9237,A15468,PA
P9237,A17452,PA
P9240,A17457,PA
P9241,A4927,PA
P9241,A17459,PA
P9244,A448,PA
P9259,A17477,PA
P9259,A17479,PA
P9260,A17477,PA
P9260,A17480,PA
P9263,A16835,PA
P9265,A17484,PA
P9265,A17485,PA
P9266,A17487,PA
P9267,A17489,PA
P9268,A17489,PA
P9269,A17468,PA
P9272,A17496,PA
P9276,A16766,PA
P9277,A16766,PA
P9282,A17508,PA
P9288,A15218,PA
P9289,A17517,PA
P9296,A17528,PA
P9297,A17528,PA
P9298,A17529,PA
P9298,A17530,PA
P9299,A17529,PA
P9302,A15385,PA
P9303,A15829,PA
P9307,A16225,PA
P9314,A15407,PA
P9316,A17544,PA
P9326,A17562,PA
P9327,A15846,PA
P9329,A17565,PA
P9337,A17568,PA
P9337,A17569,PA
P9342,A17573,PA
P9343,A17573,PA
P9347,A15791,PA
P9349,A15554,PA
P9349,A15575,PA
P9349,A17583,PA
P9351,A16067,PA
P9356,A17596,PA
P9357,A3794,PA
P9362,A17606,PA
P9363,A17606,PA
P9365,A15487,PA
P9384,A16453,PA
P9385,A16453,PA
P9386,A15297,PA
P9395,A17635,PA
P9398,A15493,PA
P9426,A17668,PA
P9427,A17669,PA
P9428,A17669,PA
P9429,A17669,PA
P9429,A17671,PA
P9434,A435,PA
P9436,A17678,PA
P9446,A15521,PA
P9448,A15152,PA
P9448,A15710,PA
P9449,A15152,PA
P9449,A15710,PA
P9451,A17693,PA
P9455,A15278,PA
P9463,A17714,PA
P9464,A17719,PA
P9467,A17262,PA
P9471,A10138,PA
P9487,A17583,PA
P9489,A15768,PA
P9489,A16116,PA
P9493,A16807,PA
P9493,A17752,PA
P9495,A15278,PA
P9499,A17762,PA
P9505,A15481,PA
P9505,A17766,PA
P9513,A17770,PA
P9514,A4595,PA
P9515,A16793,PA
P9518,A4561,PA
P9519,A17781,PA
P9522,A17783,PA
P9523,A17783,PA
P9527,A16766,PA
P9541,A17054,PA
P9556,A16162,PA
P9562,A15876,PA
P9562,A17805,PA
P9563,A15876,PA
P9563,A17805,PA
P9565,A17807,PA
P9573,A17823,PA
P9581,A15787,PA
P9581,A17829,PA
P9591,A4561,PA
P9591,A17849,PA
P9592,A4561,PA
P9592,A17849,PA
P9593,A4561,PA
P9593,A17849,PA
P9605,A17860,PA
P9606,A17860,PA
P9607,A17860,PA
P9611,A17863,PA
P9611,A17864,PA
P9613,A17866,PA
P9614,A17869,PA
P9625,A16404,PA
P9636,A17424,PA
P9640,A17424,PA
P9641,A17424,PA
P9642,A16001,PA
P9643,A16001,PA
P9644,A16001,PA
P9645,A16001,PA
P9648,A16577,PA
P9651,A17894,PA
P9658,A16969,PA
P9659,A17902,PA
P9667,A4473,PA
P9669,A17912,PA
P9672,A15294,PA
P9693,A16122,PA
P9697,A17952,PA
P9698,A17952,PA
