synID,ID,label,type
0,A85812,3,A
1,A438659,0,A
2,A366696,1,A
3,A147665,1,A
4,A1256,3,A
5,A19095,2,A
6,A49965,0,A
7,A18005,0,A
8,A91071,0,A
9,A15292,2,A
10,A124235,2,A
11,A10431,1,A
12,A233907,0,A
13,A38102,2,A
14,A114190,1,A
15,A260176,0,A
16,A27087,3,A
17,A30360,0,A
18,A19042,2,A
19,A76499,3,A
20,A16416,1,A
21,A29735,3,A
22,A69443,3,A
23,A129545,1,A
24,A16162,2,A
25,A438482,0,A
26,A103703,1,A
27,A305326,3,A
28,A4112,3,A
29,A15901,2,A
30,A18027,1,A
31,A16200,2,A
32,A24689,0,A
33,A82137,0,A
34,A366510,1,A
35,A438458,0,A
36,A421238,3,A
37,A152308,0,A
38,A27286,3,A
39,A421101,3,A
40,A173251,2,A
41,A79256,1,A
42,A261451,0,A
43,A316670,2,A
44,A17459,2,A
45,A146487,1,A
46,A12631,3,A
47,A421345,3,A
48,A3673,2,A
49,A33779,0,A
50,A42739,2,A
51,A260314,0,A
52,A114325,3,A
53,A322887,3,A
54,A17508,1,A
55,A16835,2,A
56,A17573,2,A
57,A421280,3,A
58,A379131,3,A
59,A18191,2,A
60,A17762,2,A
61,A19435,2,A
62,A231957,1,A
63,A124487,0,A
64,A42527,2,A
65,A15644,2,A
66,A114500,1,A
67,A421517,3,A
68,A28884,0,A
69,A17411,3,A
70,A16537,2,A
71,A114334,1,A
72,A17669,2,A
73,A19998,2,A
74,A438432,0,A
75,A113868,0,A
76,A366205,1,A
77,A15474,2,A
78,A130064,0,A
79,A398252,0,A
80,A19831,2,A
81,A364747,2,A
82,A122150,0,A
83,A398294,0,A
84,A18452,2,A
85,A113638,0,A
86,A421407,3,A
87,A92692,1,A
88,A421256,3,A
89,A95574,0,A
90,A154944,0,A
91,A114009,0,A
92,A422180,0,A
93,A18395,2,A
94,A421502,3,A
95,A165661,0,A
96,A39419,2,A
97,A23723,1,A
98,A20095,2,A
99,A421286,3,A
100,A17863,2,A
101,A114603,3,A
102,A86327,0,A
103,A1842,2,A
104,A438264,0,A
105,A114833,1,A
106,A260444,0,A
107,A294635,2,A
108,A62124,3,A
109,A391207,1,A
110,A83865,2,A
111,A48892,3,A
112,A421295,3,A
113,A366194,1,A
114,A114528,0,A
115,A18805,2,A
116,A316389,2,A
117,A113682,3,A
118,A19393,2,A
119,A35635,3,A
120,A260498,0,A
121,A53843,0,A
122,A16404,2,A
123,A168788,2,A
124,A175602,0,A
125,A215348,2,A
126,A16721,2,A
127,A15774,2,A
128,A366668,1,A
129,A83890,0,A
130,A265860,3,A
131,A316609,2,A
132,A77848,0,A
133,A18363,2,A
134,A117420,3,A
135,A31995,1,A
136,A76449,0,A
137,A15440,2,A
138,A348233,1,A
139,A114003,1,A
140,A201790,0,A
141,A421268,3,A
142,A17457,2,A
143,A316650,2,A
144,A50542,2,A
145,A82546,2,A
146,A261365,0,A
147,A152169,1,A
148,A35581,0,A
149,A45194,0,A
150,A195262,3,A
151,A15514,1,A
152,A40200,3,A
153,A421473,3,A
154,A34770,0,A
155,A44860,2,A
156,A9000,3,A
157,A375510,0,A
158,A422261,0,A
159,A15294,0,A
160,A37278,0,A
161,A209273,3,A
162,A422308,0,A
163,A16403,2,A
164,A421590,3,A
165,A316106,2,A
166,A40513,3,A
167,A77763,0,A
168,A53578,0,A
169,A152153,0,A
170,A13375,0,A
171,A110908,3,A
172,A16311,2,A
173,A28381,0,A
174,A421554,3,A
175,A16678,2,A
176,A116755,2,A
177,A78274,0,A
178,A366203,1,A
179,A33093,0,A
180,A4285,2,A
181,A113660,0,A
182,A78139,3,A
183,A113911,3,A
184,A98896,1,A
185,A55060,0,A
186,A5304,0,A
187,A421297,3,A
188,A97600,0,A
189,A261156,3,A
