idx,acc,precision
0,,0.44
1,,0.24
2,,0.56
3,,0.24
4,,0.64
5,,0.4
6,,0.28
7,,0.52
8,,0.8
9,,0.4
10,,0.84
11,,0.64
12,,0.76
13,,0.2
14,,0.84
15,,0.84
16,,0.8
17,,0.96
18,,0.92
19,,0.6
20,,0.68
21,,0.72
22,,0.8
23,,0.72
24,,0.72
25,,0.88
26,,0.8
27,,0.68
28,,0.8
29,,0.8
30,,0.96
31,,0.84
32,,0.88
33,,0.88
34,,0.92
35,,0.72
36,,0.76
37,,0.72
38,,0.68
39,,0.48
40,,0.76
41,,0.8
42,,0.88
43,,0.48
44,,0.6
45,,0.8
46,,0.52
47,,0.72
48,,0.0
49,,0.72
50,,0.48
51,,0.08
52,,0.96
53,,0.28
54,,0.6
55,,0.24
56,,0.08
57,,0.44
58,,0.12
59,,0.0
60,,0.68
61,,0.0
62,,0.28
63,,0.12
64,,0.0
65,,0.36
66,,0.04
67,,0.0
68,,0.0
69,,0.24
70,,0.0
71,,0.52
72,,0.0
73,,0.0
74,,0.04
75,,0.0
76,,0.12
77,,0.0
78,,0.0
79,,0.04
80,,0.0
81,,0.0
82,,0.0
83,,0.0
84,,0.0
85,,0.0
86,,0.0
87,,0.0
88,,0.0
89,,0.0
90,,0.0
91,,0.0
92,,0.0
93,,0.0
94,,0.0
95,,0.0
96,,0.0
97,,0.0
98,,0.0
99,,0.0
100,,0.0
101,,0.0
102,,0.0
103,,0.0
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.0
110,,0.0
111,,0.0
112,,0.0
113,,0.0
114,,0.0
115,,0.0
116,,0.0
117,,0.0
118,,0.0
119,,0.0
120,,0.0
121,,0.0
122,,0.0
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.0
128,,0.0
129,,0.0
130,,0.0
131,,0.0
132,,0.0
133,,0.0
134,,0.0
135,,0.0
136,,0.0
137,,0.0
138,,0.0
139,,0.0
140,,0.0
141,,0.0
142,,0.0
143,,0.0
144,,0.0
145,,0.0
146,,0.0
147,,0.0
148,,0.0
149,,0.0
150,,0.0
151,,0.0
152,,0.0
153,,0.0
154,,0.0
155,,0.0
156,,0.0
157,,0.0
0,,0.36
1,,0.2
2,,0.44
3,,0.28
4,,0.4
5,,0.32
6,,0.48
7,,0.8
8,,0.84
9,,0.76
10,,0.84
11,,0.44
12,,0.28
13,,0.24
14,,0.8
15,,0.84
16,,0.16
17,,0.8
18,,0.6
19,,0.52
20,,0.8
21,,0.12
22,,0.96
23,,0.76
