idx,acc,precision
0,,0.16
1,,0.4
2,,0.68
3,,0.72
4,,0.68
5,,0.36
6,,0.84
7,,0.6
8,,0.64
9,,0.92
10,,0.4
11,,0.8
12,,0.24
13,,0.64
14,,0.44
15,,0.72
16,,0.68
17,,0.64
18,,0.6
19,,0.8
20,,0.68
21,,0.56
22,,0.48
23,,0.6
24,,0.6
25,,0.32
26,,0.64
27,,0.48
28,,0.56
29,,0.6
30,,0.24
31,,0.16
32,,0.28
33,,0.44
34,,0.56
35,,0.52
36,,0.52
37,,0.28
38,,0.4
39,,0.36
40,,0.56
41,,0.6
42,,0.48
43,,0.28
44,,0.28
45,,0.16
46,,0.24
47,,0.36
48,,0.56
49,,0.4
50,,0.6
51,,0.48
52,,0.76
53,,0.64
54,,0.6
55,,0.2
56,,0.32
57,,0.72
58,,0.2
59,,0.36
60,,0.56
61,,0.28
62,,0.36
63,,0.24
64,,0.44
65,,0.2
66,,0.44
67,,0.32
68,,0.24
69,,0.2
70,,0.2
71,,0.2
72,,0.24
73,,0.32
74,,0.32
75,,0.16
76,,0.16
77,,0.28
78,,0.12
79,,0.08
80,,0.12
81,,0.28
82,,0.12
83,,0.16
84,,0.4
85,,0.24
86,,0.16
87,,0.16
88,,0.12
89,,0.16
90,,0.04
91,,0.2
92,,0.28
93,,0.16
94,,0.36
95,,0.28
96,,0.32
97,,0.0
98,,0.0
99,,0.04
100,,0.04
101,,0.04
102,,0.04
103,,0.08
104,,0.04
105,,0.0
106,,0.04
107,,0.08
108,,0.0
109,,0.04
110,,0.04
111,,0.04
112,,0.04
113,,0.04
114,,0.12
115,,0.04
116,,0.0
117,,0.08
118,,0.0
119,,0.0
120,,0.0
121,,0.0
122,,0.0
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.0
128,,0.0
129,,0.0
130,,0.0
131,,0.0
132,,0.0
133,,0.0
134,,0.0
135,,0.0
136,,0.0
137,,0.0
138,,0.0
139,,0.0
140,,0.0
141,,0.0
142,,0.0
143,,0.0
144,,0.0
145,,0.0
146,,0.0
147,,0.0
148,,0.0
149,,0.0
150,,0.0
151,,0.0
152,,0.0
153,,0.0
154,,0.0
155,,0.0
156,,0.0
157,,0.0
158,,0.0
0,,0.48
1,,0.44
2,,0.56
3,,0.4
4,,0.68
5,,0.56
6,,0.6
7,,0.68
8,,0.64
9,,0.72
10,,0.8
11,,0.48
12,,0.84
13,,0.68
14,,0.52
15,,0.52
16,,0.84
17,,0.6
18,,0.6
19,,0.68
20,,0.36
21,,0.44
22,,0.6
23,,0.16
24,,0.36
25,,0.76
26,,0.6
27,,0.2
28,,0.36
29,,0.4
30,,0.56
31,,0.44
32,,0.44
33,,0.44
34,,0.56
35,,0.68
36,,0.28
37,,0.32
38,,0.36
39,,0.36
40,,0.72
41,,0.44
42,,0.32
43,,0.44
44,,0.56
45,,0.36
46,,0.6
47,,0.4
48,,0.24
49,,0.4
50,,0.48
51,,0.52
52,,0.64
53,,0.8
54,,0.36
55,,0.08
56,,0.36
57,,0.52
58,,0.68
59,,0.48
60,,0.32
61,,0.24
62,,0.32
63,,0.28
64,,0.32
65,,0.68
66,,0.08
67,,0.36
68,,0.16
69,,0.28
70,,0.44
71,,0.72
72,,0.4
73,,0.16
74,,0.24
75,,0.28
76,,0.4
77,,0.2
78,,0.16
79,,0.24
80,,0.04
81,,0.08
82,,0.08
83,,0.0
84,,0.12
85,,0.16
86,,0.04
87,,0.12
88,,0.24
89,,0.0
90,,0.04
91,,0.04
92,,0.04
93,,0.16
94,,0.16
95,,0.04
96,,0.0
97,,0.04
98,,0.08
99,,0.12
100,,0.08
101,,0.2
102,,0.44
103,,0.2
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.04
110,,0.08
111,,0.04
112,,0.04
113,,0.0
114,,0.0
115,,0.0
116,,0.0
117,,0.08
118,,0.12
119,,0.0
120,,0.0
121,,0.0
122,,0.0
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.08
128,,0.04
129,,0.0
130,,0.0
131,,0.0
132,,0.0
133,,0.0
134,,0.0
135,,0.0
136,,0.0
137,,0.0
138,,0.0
139,,0.0
140,,0.0
141,,0.0
142,,0.0
143,,0.0
144,,0.0
145,,0.0
146,,0.0
147,,0.0
148,,0.0
149,,0.0
150,,0.0
151,,0.0
152,,0.0
153,,0.0
154,,0.0
155,,0.0
156,,0.0
157,,0.0
158,,0.0
0,,0.28
1,,0.52
2,,0.52
3,,0.64
4,,0.64
5,,0.88
6,,0.68
