idx,acc,precision
0,,0.88
1,,0.96
2,,0.96
3,,0.92
4,,0.96
5,,0.88
6,,0.84
7,,0.96
8,,1.0
9,,0.88
10,,0.96
11,,0.84
12,,0.96
13,,1.0
14,,0.84
15,,0.76
16,,0.84
17,,0.84
18,,0.6
19,,0.8
20,,0.8
21,,0.68
22,,0.76
23,,0.88
24,,0.72
25,,0.76
26,,0.44
27,,0.36
28,,0.4
29,,0.4
30,,0.28
31,,0.56
32,,0.76
33,,0.64
34,,0.36
35,,0.52
36,,0.64
37,,0.4
38,,0.52
39,,0.84
40,,0.84
41,,0.68
42,,0.4
43,,0.36
44,,0.24
45,,0.48
46,,0.52
47,,0.48
48,,0.52
49,,0.16
50,,0.16
51,,0.56
52,,0.64
53,,0.56
54,,0.48
55,,0.16
56,,0.04
57,,0.12
58,,0.2
59,,0.12
60,,0.16
61,,0.28
62,,0.16
63,,0.0
64,,0.08
65,,0.32
66,,0.0
67,,0.0
68,,0.04
69,,0.12
70,,0.08
71,,0.08
72,,0.04
73,,0.0
74,,0.0
75,,0.0
76,,0.0
77,,0.0
78,,0.0
79,,0.0
80,,0.0
81,,0.0
82,,0.0
83,,0.0
84,,0.0
85,,0.0
86,,0.0
87,,0.0
88,,0.0
89,,0.0
90,,0.0
91,,0.0
92,,0.0
93,,0.0
94,,0.0
95,,0.0
96,,0.0
97,,0.0
98,,0.0
99,,0.0
100,,0.0
101,,0.0
102,,0.0
103,,0.0
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.0
110,,0.0
111,,0.0
112,,0.0
113,,0.0
114,,0.0
115,,0.0
116,,0.04
117,,0.16
118,,0.2
119,,0.0
120,,0.0
121,,0.0
122,,0.0
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.0
128,,0.0
129,,0.0
130,,0.0
131,,0.0
132,,0.0
133,,0.0
134,,0.0
135,,0.0
136,,0.0
137,,0.0
138,,0.0
139,,0.0
140,,0.0
141,,0.0
142,,0.0
143,,0.0
144,,0.0
