idx,acc,precision
0,,1.0
1,,1.0
2,,1.0
3,,1.0
4,,0.68
5,,0.96
6,,0.48
7,,0.96
8,,0.88
9,,1.0
10,,1.0
11,,0.96
12,,0.08
13,,0.0
14,,0.36
15,,0.28
16,,1.0
17,,0.96
18,,0.48
19,,0.96
20,,0.96
21,,0.88
22,,0.32
23,,0.64
24,,0.72
25,,1.0
26,,0.76
27,,0.72
28,,0.76
29,,0.88
30,,0.72
31,,0.16
32,,0.64
33,,0.36
34,,0.72
35,,0.52
36,,0.52
37,,1.0
38,,0.48
39,,0.04
40,,0.4
41,,0.92
42,,1.0
43,,1.0
44,,0.64
45,,0.0
46,,0.04
47,,0.36
48,,0.6
49,,0.92
50,,0.32
51,,0.52
52,,0.56
53,,1.0
54,,0.96
55,,0.44
56,,0.68
57,,0.0
58,,0.0
59,,0.0
60,,0.04
61,,0.36
62,,0.0
63,,0.0
64,,0.0
65,,0.0
66,,0.0
67,,0.0
68,,0.0
69,,0.24
70,,0.16
71,,0.0
72,,0.0
73,,0.0
74,,0.0
75,,0.0
76,,0.0
77,,0.0
78,,0.0
79,,0.0
80,,0.0
81,,0.0
82,,0.0
83,,0.0
84,,0.0
85,,0.0
86,,0.0
87,,0.0
88,,0.0
89,,0.0
90,,0.0
91,,0.0
92,,0.0
93,,0.0
94,,0.0
95,,0.0
96,,0.0
97,,0.0
98,,0.0
99,,0.0
100,,0.0
101,,0.0
102,,0.0
103,,0.0
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.0
110,,0.0
111,,0.0
112,,0.0
113,,0.0
114,,0.0
115,,0.0
116,,0.0
117,,0.0
118,,0.0
119,,0.0
120,,0.0
121,,0.0
122,,0.0
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.0
128,,0.0
129,,0.0
130,,0.0
131,,0.0
132,,0.0
133,,0.0
134,,0.0
135,,0.0
136,,0.0
137,,0.0
138,,0.0
139,,0.0
140,,0.0
141,,0.0
142,,0.0
143,,0.0
144,,0.0
145,,0.0
146,,0.0
147,,0.0
148,,0.0
149,,0.0
150,,0.0
151,,0.0
152,,0.0
153,,0.0
154,,0.0
155,,0.0
0,,1.0
1,,0.84
2,,0.92
3,,0.96
4,,0.68
5,,0.88
6,,1.0
7,,0.92
8,,1.0
9,,0.88
10,,0.92
11,,0.8
12,,0.8
13,,0.88
14,,0.84
15,,0.88
16,,0.8
17,,0.76
18,,0.04
19,,0.6
20,,0.72
21,,0.72
