idx,acc,precision
0,,0.64
1,,0.96
2,,0.72
3,,0.68
4,,0.6
5,,0.52
6,,0.64
7,,0.72
8,,0.68
9,,0.76
10,,0.68
11,,0.76
12,,0.88
13,,0.6
14,,0.52
15,,0.6
16,,0.56
17,,0.56
18,,0.72
19,,0.72
20,,0.44
21,,0.72
22,,0.8
23,,0.8
24,,0.6
25,,0.6
26,,0.48
27,,0.36
28,,0.32
29,,0.4
30,,0.48
31,,0.56
32,,0.6
33,,0.44
34,,0.48
35,,0.24
36,,0.24
37,,0.24
38,,0.6
39,,0.44
40,,0.64
41,,0.12
42,,0.08
43,,0.16
44,,0.04
45,,0.0
46,,0.04
47,,0.08
48,,0.04
49,,0.2
50,,0.12
51,,0.12
52,,0.32
53,,0.04
54,,0.08
55,,0.32
56,,0.16
57,,0.28
58,,0.32
59,,0.04
60,,0.0
61,,0.04
62,,0.04
63,,0.2
64,,0.44
65,,0.68
66,,0.24
67,,0.0
68,,0.0
69,,0.08
70,,0.64
71,,0.2
72,,0.16
73,,0.12
74,,0.04
75,,0.0
76,,0.0
77,,0.0
78,,0.0
79,,0.04
80,,0.08
81,,0.24
82,,0.04
83,,0.0
84,,0.0
85,,0.0
86,,0.04
87,,0.16
88,,0.44
89,,0.68
90,,0.36
91,,0.08
92,,0.48
93,,0.16
94,,0.08
95,,0.24
96,,0.08
97,,0.0
98,,0.0
99,,0.04
100,,0.16
101,,0.76
102,,0.84
103,,0.16
104,,0.04
105,,0.16
106,,0.4
107,,0.2
108,,0.0
109,,0.0
110,,0.0
111,,0.12
112,,0.4
113,,0.32
114,,0.0
115,,0.0
116,,0.04
117,,0.16
118,,0.2
119,,0.04
120,,0.04
121,,0.08
122,,0.24
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.0
128,,0.0
129,,0.04
130,,0.12
131,,0.2
132,,0.04
133,,0.12
134,,0.16
135,,0.12
136,,0.0
137,,0.0
138,,0.0
139,,0.0
140,,0.04
141,,0.12
142,,0.88
143,,0.2
144,,0.0
145,,0.16
146,,0.2
147,,0.04
148,,0.04
149,,0.12
150,,0.2
151,,0.0
152,,0.0
153,,0.0
154,,0.0
155,,0.0
156,,0.0
157,,0.0
158,,0.0
0,,0.24
1,,0.52
2,,0.64
3,,0.44
4,,0.96
5,,0.72
6,,0.4
7,,0.8
8,,0.84
9,,0.72
10,,0.36
11,,0.32
12,,0.64
13,,0.52
14,,0.64
15,,0.72
16,,0.44
17,,0.72
18,,0.68
19,,0.76
20,,0.56
21,,0.6
22,,0.32
23,,0.4
24,,0.32
25,,0.28
26,,0.36
27,,0.8
28,,0.08
29,,0.12
30,,0.4
31,,0.48
32,,0.16
33,,0.08
34,,0.12
35,,0.16
36,,0.16
37,,0.16
38,,0.56
39,,0.28
