idx,acc,precision
0,,0.04
1,,1.0
2,,1.0
3,,1.0
4,,1.0
5,,1.0
6,,1.0
7,,1.0
8,,0.92
9,,0.88
10,,0.96
11,,0.72
12,,0.84
13,,0.84
14,,1.0
15,,0.96
16,,0.92
17,,0.48
18,,0.8
19,,1.0
20,,1.0
21,,1.0
22,,0.64
23,,1.0
24,,0.44
25,,0.08
26,,0.76
27,,1.0
28,,0.76
29,,0.96
30,,0.16
31,,0.52
32,,0.36
33,,0.88
34,,0.92
35,,1.0
36,,0.96
37,,0.76
38,,0.52
39,,0.48
40,,0.32
41,,0.04
42,,0.24
43,,0.2
44,,0.28
45,,0.08
46,,0.52
47,,1.0
48,,0.96
49,,1.0
50,,0.68
51,,0.56
52,,0.0
53,,0.04
54,,0.28
55,,0.4
56,,0.48
57,,0.04
58,,0.16
59,,0.2
60,,0.0
61,,0.0
62,,0.0
63,,0.0
64,,0.0
65,,0.0
66,,0.0
67,,0.0
68,,0.0
69,,0.0
70,,0.0
71,,0.0
72,,0.0
73,,0.0
74,,0.0
75,,0.04
76,,0.24
77,,0.12
78,,0.0
79,,0.0
80,,0.0
81,,0.0
82,,0.0
83,,0.0
84,,0.0
85,,0.0
86,,0.0
87,,0.0
88,,0.0
89,,0.0
90,,0.0
91,,0.0
92,,0.0
93,,0.0
94,,0.0
95,,0.0
96,,0.0
97,,0.0
98,,0.0
99,,0.0
100,,0.0
101,,0.0
102,,0.0
103,,0.0
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.0
110,,0.0
111,,0.0
112,,0.0
113,,0.0
114,,0.0
115,,0.0
116,,0.0
117,,0.0
118,,0.0
119,,0.0
120,,0.0
121,,0.0
122,,0.0
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.0
128,,0.0
129,,0.0
130,,0.0
131,,0.0
132,,0.0
133,,0.0
134,,0.0
135,,0.0
136,,0.0
137,,0.0
138,,0.0
139,,0.0
140,,0.0
141,,0.0
142,,0.0
143,,0.0
144,,0.0
145,,0.0
146,,0.0
147,,0.0
148,,0.0
149,,0.0
150,,0.0
151,,0.0
152,,0.0
153,,0.0
154,,0.0
155,,0.0
156,,0.0
157,,0.0
0,,0.04
1,,1.0
2,,1.0
3,,1.0
4,,0.76
5,,1.0
6,,0.96
7,,1.0
