idx,recall,Prec@next_10,Prec@next_20,Prec@next_30,Prec@next_40,Prec@next_50,run_index
0.0,0.020114942528735632,1.0,1.0,1.0,1.0,1.0,0
1.0,0.04885057471264368,1.0,1.0,1.0,1.0,1.0,0
2.0,0.07758620689655173,1.0,1.0,1.0,1.0,1.0,0
3.0,0.10632183908045977,1.0,1.0,1.0,1.0,1.0,0
4.0,0.13505747126436782,1.0,1.0,1.0,1.0,1.0,0
5.0,0.16379310344827586,1.0,1.0,1.0,1.0,1.0,0
6.0,0.1925287356321839,1.0,1.0,1.0,1.0,1.0,0
7.0,0.22126436781609196,1.0,1.0,1.0,1.0,1.0,0
8.0,0.25,1.0,1.0,1.0,1.0,1.0,0
9.0,0.27873563218390807,1.0,1.0,1.0,1.0,1.0,0
10.0,0.3074712643678161,1.0,1.0,1.0,1.0,1.0,0
11.0,0.33620689655172414,1.0,1.0,1.0,1.0,1.0,0
12.0,0.3649425287356322,1.0,1.0,1.0,1.0,1.0,0
13.0,0.3936781609195402,1.0,1.0,1.0,1.0,1.0,0
14.0,0.4224137931034483,1.0,1.0,1.0,1.0,1.0,0
15.0,0.4511494252873563,1.0,1.0,1.0,1.0,1.0,0
16.0,0.47988505747126436,1.0,1.0,1.0,1.0,1.0,0
17.0,0.5086206896551724,1.0,1.0,1.0,1.0,1.0,0
18.0,0.5373563218390804,1.0,1.0,1.0,1.0,1.0,0
19.0,0.5660919540229885,1.0,1.0,1.0,1.0,1.0,0
20.0,0.5948275862068966,1.0,1.0,1.0,1.0,1.0,0
21.0,0.6235632183908046,1.0,1.0,1.0,1.0,1.0,0
22.0,0.6522988505747126,1.0,1.0,1.0,1.0,1.0,0
23.0,0.6810344827586207,1.0,1.0,1.0,1.0,1.0,0
24.0,0.7097701149425287,1.0,1.0,1.0,1.0,1.0,0
25.0,0.7385057471264368,1.0,1.0,1.0,1.0,0.98,0
26.0,0.7672413793103449,1.0,1.0,1.0,0.975,0.96,0
27.0,0.7959770114942529,1.0,1.0,1.0,0.95,0.92,0
28.0,0.8247126436781609,1.0,1.0,0.9666666666666667,0.9,0.9,0
29.0,0.853448275862069,1.0,0.95,0.9,0.925,0.82,0
30.0,0.882183908045977,1.0,0.95,0.9,0.8,0.74,0
31.0,0.9109195402298851,0.8,0.85,0.8,0.675,0.54,0
32.0,0.9339080459770115,1.0,0.8,0.6333333333333333,0.475,0.38,0
33.0,0.9626436781609196,0.5,0.4,0.3,0.225,0.18,0
34.0,0.9770114942528736,0.4,0.2,0.16666666666666666,0.175,0.14,0
35.0,0.9885057471264368,0.3,0.15,0.13333333333333333,0.1,0.08,0
36.0,0.9971264367816092,0.1,0.05,0.03333333333333333,0.025,0.02,0
37.0,1.0,0.0,0.0,0.0,0.0,0.0,0
38.0,1.0,0.0,0.0,0.0,0.0,0.0,0
39.0,1.0,0.0,0.0,0.0,0.0,0.0,0
40.0,1.0,0.0,0.0,0.0,0.0,0.0,0
41.0,1.0,0.0,0.0,0.0,0.0,0.0,0
42.0,1.0,0.0,0.0,0.0,0.0,0.0,0
43.0,1.0,0.0,0.0,0.0,0.0,0.0,0
44.0,1.0,0.0,0.0,0.0,0.0,0.0,0
45.0,1.0,0.0,0.0,0.0,0.0,0.0,0
46.0,1.0,0.0,0.0,0.0,0.0,0.0,0
47.0,1.0,0.0,0.0,0.0,0.0,0.0,0
48.0,1.0,0.0,0.0,0.0,0.0,0.0,0
49.0,1.0,0.0,0.0,0.0,0.0,0.0,0
50.0,1.0,0.0,0.0,0.0,0.0,0.0,0
51.0,1.0,0.0,0.0,0.0,0.0,0.0,0
52.0,1.0,0.0,0.0,0.0,0.0,0.0,0
53.0,1.0,0.0,0.0,0.0,0.0,0.0,0
54.0,1.0,0.0,0.0,0.0,0.0,0.0,0
55.0,1.0,0.0,0.0,0.0,0.0,0.0,0
56.0,1.0,0.0,0.0,0.0,0.0,0.0,0
57.0,1.0,0.0,0.0,0.0,0.0,0.0,0
58.0,1.0,0.0,0.0,0.0,0.0,0.0,0
59.0,1.0,0.0,0.0,0.0,0.0,0.0,0
60.0,1.0,0.0,0.0,0.0,0.0,0.0,0
61.0,1.0,0.0,0.0,0.0,0.0,0.0,0
62.0,1.0,0.0,0.0,0.0,0.0,0.0,0
63.0,1.0,0.0,0.0,0.0,0.0,0.0,0
64.0,1.0,0.0,0.0,0.0,0.0,0.0,0
65.0,1.0,0.0,0.0,0.0,0.0,0.0,0
66.0,1.0,0.0,0.0,0.0,0.0,0.0,0
67.0,1.0,0.0,0.0,0.0,0.0,0.0,0
68.0,1.0,0.0,0.0,0.0,0.0,0.0,0
69.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.014367816091954023,1.0,1.0,1.0,1.0,1.0,1
1.0,0.04310344827586207,1.0,1.0,1.0,1.0,1.0,1
2.0,0.07183908045977011,1.0,1.0,1.0,1.0,1.0,1
3.0,0.10057471264367816,1.0,1.0,1.0,1.0,1.0,1
4.0,0.12931034482758622,1.0,1.0,1.0,1.0,1.0,1
5.0,0.15804597701149425,1.0,1.0,1.0,1.0,1.0,1
6.0,0.1867816091954023,1.0,1.0,1.0,1.0,1.0,1
7.0,0.21551724137931033,1.0,1.0,1.0,1.0,1.0,1
8.0,0.2442528735632184,1.0,1.0,1.0,1.0,1.0,1
9.0,0.27298850574712646,1.0,1.0,1.0,1.0,1.0,1
10.0,0.3017241379310345,1.0,1.0,1.0,1.0,1.0,1
11.0,0.33045977011494254,1.0,1.0,1.0,1.0,1.0,1
12.0,0.35919540229885055,1.0,1.0,1.0,1.0,1.0,1
13.0,0.3879310344827586,1.0,1.0,1.0,1.0,1.0,1
14.0,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1
15.0,0.4454022988505747,1.0,1.0,1.0,1.0,1.0,1
16.0,0.47413793103448276,1.0,1.0,1.0,1.0,1.0,1
17.0,0.5028735632183908,1.0,1.0,1.0,1.0,1.0,1
18.0,0.5316091954022989,1.0,1.0,1.0,1.0,1.0,1
19.0,0.5603448275862069,1.0,1.0,1.0,1.0,1.0,1
20.0,0.5890804597701149,1.0,1.0,1.0,1.0,1.0,1
21.0,0.617816091954023,1.0,1.0,1.0,1.0,0.96,1
22.0,0.646551724137931,1.0,1.0,1.0,1.0,0.96,1
23.0,0.6752873563218391,1.0,1.0,1.0,0.95,0.96,1
24.0,0.7040229885057471,1.0,1.0,1.0,0.95,0.96,1
25.0,0.7327586206896551,1.0,0.95,0.9333333333333333,0.95,0.96,1
26.0,0.7614942528735632,0.9,0.9,0.9333333333333333,0.95,0.92,1
27.0,0.7873563218390804,0.9,0.95,0.9333333333333333,0.925,0.92,1
28.0,0.8132183908045977,1.0,0.95,0.9333333333333333,0.925,0.9,1
29.0,0.8419540229885057,1.0,0.95,0.9333333333333333,0.925,0.84,1
30.0,0.8706896551724138,1.0,0.95,0.9666666666666667,0.875,0.74,1
31.0,0.8994252873563219,1.0,0.95,0.8666666666666667,0.675,0.54,1
32.0,0.9281609195402298,1.0,0.85,0.5666666666666667,0.425,0.34,1
33.0,0.9568965517241379,0.7,0.35,0.23333333333333334,0.175,0.14,1
34.0,0.9770114942528736,0.0,0.0,0.0,0.0,0.0,1
35.0,0.9770114942528736,0.0,0.0,0.0,0.0,0.02,1
36.0,0.9770114942528736,0.0,0.0,0.0,0.025,0.02,1
37.0,0.9770114942528736,0.0,0.0,0.03333333333333333,0.025,0.02,1
38.0,0.9770114942528736,0.0,0.05,0.03333333333333333,0.025,0.08,1
39.0,0.9770114942528736,0.1,0.05,0.03333333333333333,0.1,0.12,1
40.0,0.9798850574712644,0.0,0.0,0.13333333333333333,0.15,0.12,1
41.0,0.9798850574712644,0.0,0.2,0.2,0.15,0.14,1
42.0,0.9798850574712644,0.4,0.3,0.2,0.175,0.14,1
43.0,0.9913793103448276,0.3,0.15,0.1,0.075,0.06,1
44.0,1.0,0.0,0.0,0.0,0.0,0.0,1
45.0,1.0,0.0,0.0,0.0,0.0,0.0,1
46.0,1.0,0.0,0.0,0.0,0.0,0.0,1
47.0,1.0,0.0,0.0,0.0,0.0,0.0,1
48.0,1.0,0.0,0.0,0.0,0.0,0.0,1
49.0,1.0,0.0,0.0,0.0,0.0,0.0,1
50.0,1.0,0.0,0.0,0.0,0.0,0.0,1
51.0,1.0,0.0,0.0,0.0,0.0,0.0,1
52.0,1.0,0.0,0.0,0.0,0.0,0.0,1
53.0,1.0,0.0,0.0,0.0,0.0,0.0,1
54.0,1.0,0.0,0.0,0.0,0.0,0.0,1
55.0,1.0,0.0,0.0,0.0,0.0,0.0,1
56.0,1.0,0.0,0.0,0.0,0.0,0.0,1
57.0,1.0,0.0,0.0,0.0,0.0,0.0,1
58.0,1.0,0.0,0.0,0.0,0.0,0.0,1
59.0,1.0,0.0,0.0,0.0,0.0,0.0,1
60.0,1.0,0.0,0.0,0.0,0.0,0.0,1
61.0,1.0,0.0,0.0,0.0,0.0,0.0,1
62.0,1.0,0.0,0.0,0.0,0.0,0.0,1
63.0,1.0,0.0,0.0,0.0,0.0,0.0,1
64.0,1.0,0.0,0.0,0.0,0.0,0.0,1
65.0,1.0,0.0,0.0,0.0,0.0,0.0,1
66.0,1.0,0.0,0.0,0.0,0.0,0.0,1
67.0,1.0,0.0,0.0,0.0,0.0,0.0,1
68.0,1.0,0.0,0.0,0.0,0.0,0.0,1
