idx,recall,Prec@next_10,Prec@next_20,Prec@next_30,Prec@next_40,Prec@next_50,run_index
0.0,0.012048192771084338,1.0,1.0,1.0,1.0,1.0,0
1.0,0.04216867469879518,1.0,1.0,1.0,1.0,1.0,0
2.0,0.07228915662650602,1.0,1.0,1.0,1.0,1.0,0
3.0,0.10240963855421686,1.0,1.0,1.0,1.0,1.0,0
4.0,0.13253012048192772,1.0,1.0,1.0,1.0,1.0,0
5.0,0.16265060240963855,1.0,1.0,1.0,1.0,1.0,0
6.0,0.1927710843373494,1.0,1.0,1.0,1.0,1.0,0
7.0,0.22289156626506024,1.0,1.0,1.0,1.0,1.0,0
8.0,0.25301204819277107,1.0,1.0,0.9666666666666667,0.975,0.98,0
9.0,0.28313253012048195,1.0,0.95,0.9666666666666667,0.975,0.98,0
10.0,0.3132530120481928,0.9,0.95,0.9666666666666667,0.975,0.98,0
11.0,0.34036144578313254,1.0,1.0,1.0,1.0,1.0,0
12.0,0.3704819277108434,1.0,1.0,1.0,1.0,1.0,0
13.0,0.4006024096385542,1.0,1.0,1.0,1.0,0.98,0
14.0,0.4307228915662651,1.0,1.0,1.0,1.0,0.98,0
15.0,0.4608433734939759,1.0,1.0,1.0,0.975,0.96,0
16.0,0.49096385542168675,1.0,1.0,0.9666666666666667,0.95,0.96,0
17.0,0.5210843373493976,1.0,0.95,0.9666666666666667,0.95,0.96,0
18.0,0.5512048192771084,0.9,0.95,0.9333333333333333,0.95,0.96,0
19.0,0.5783132530120482,1.0,0.95,0.9666666666666667,0.975,0.98,0
20.0,0.608433734939759,0.9,0.95,0.9666666666666667,0.95,0.94,0
21.0,0.6355421686746988,1.0,1.0,0.9666666666666667,0.95,0.94,0
22.0,0.6656626506024096,1.0,1.0,0.9333333333333333,0.9,0.9,0
23.0,0.6957831325301205,1.0,0.9,0.8666666666666667,0.875,0.9,0
24.0,0.7259036144578314,0.8,0.85,0.8333333333333334,0.875,0.9,0
25.0,0.75,0.9,0.85,0.9,0.925,0.94,0
26.0,0.7771084337349398,0.9,0.9,0.9333333333333333,0.95,0.94,0
27.0,0.8042168674698795,0.9,0.95,0.9666666666666667,0.95,0.88,0
28.0,0.8313253012048193,1.0,1.0,0.9666666666666667,0.925,0.88,0
